dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[mean],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates,horizon,ttm_context_len,available_context_len,finetune_success,finetune_train_num_samples,finetune_valid_num_samples,insample_error
saugeen/W/short,TTM-R3-PT,965.3501178384792,965.3501178384792,14.787800485493573,14.787800485493573,1.199376764196669,0.37324896901885984,0.3903129116755032,14.504519103612273,31.070083968964088,0.9378763201649382,0.44638205408526965,0.3862416029926681,Nature,1,8,2048,3231,False,0,0,0
m4_yearly/A/short,TTM-R3-PT,3886814.589609909,3886814.589609909,953.9038370773155,953.9038370773155,3.555842904723933,0.19012479429725926,0.1498219835722967,43.3195803975888,1971.500593357737,0.3161392697608558,0.152962907285811,0.13810334426009827,Econ/Fin,1,6,156,13,False,0,0,0
solar/D/short,TTM-R3-PT,152675.53214290235,152675.53214290235,256.76114079238727,256.76114079238727,1.0036277321236304,1.1976194737811257,0.42345245102377443,6.207966378070055,390.7371650392401,0.5644821166936023,0.3709323944769763,0.2904067015058376,Energy,1,30,512,305,False,0,0,0
solar/W/short,TTM-R3-PT,2312016.669491497,2312016.669491497,1225.6248547073699,1225.6248547073699,1.344993018008766,0.28167855910020617,0.23549172582964134,6.083470199895292,1520.5317061776439,0.3103785363996592,0.250180674979411,0.1865114347329705,Energy,1,8,156,44,False,0,0,0
electricity/15T/short,TTM-R3-PT,119818.03525560236,119818.03525560236,44.83587111105001,44.83587111105001,0.8681275257851683,0.13736348678095983,0.1506904672204606,10.330539187637692,346.14741838644755,0.6823247808401007,0.08838033827387336,0.0751826704595573,Energy,1,48,2048,139296,False,0,0,0
solar/H/short,TTM-R3-PT,739.8574738101639,739.8574738101639,12.06387436284298,12.06387436284298,0.9322890746100375,4.402030159970668,1.4256285864557812,13.474721231611305,27.200321207849072,1.0026128527168747,0.4446784064541729,0.36822686748669753,Energy,1,48,2048,7848,False,0,0,0
solar/H/medium,TTM-R3-PT,744.5170213832962,744.5170213832962,11.560994222435626,11.560994222435626,0.8852994671669645,4.467752187594588,1.4097035089605188,8.830803936216538,27.285839209804344,0.982899613797542,0.4164539953847024,0.33046102373478564,Energy,1,480,2048,7800,False,0,0,0
solar/H/long,TTM-R3-PT,804.7040870626902,804.7040870626902,12.161445918040737,12.161445918040737,0.924041727779464,6.7862595075597705,1.4061244117747884,8.9510712505006,28.367306658593623,0.9835462198007512,0.4216594935838458,0.3345772267052871,Energy,1,720,2048,7320,False,0,0,0
solar/10T/short,TTM-R3-PT,33.6286718776352,33.6286718776352,2.552632119820749,2.552632119820749,1.119488012968734,6.443557986937253,1.545807934407507,21.827513474092225,5.799023355500062,1.6869352078195228,0.7425603815601942,0.6657527584956804,Energy,1,48,2048,51600,False,0,0,0
m4_monthly/M/short,TTM-R3-PT,2004577.1574466908,2004577.1574466908,605.0735418051901,605.0735418051901,1.0632492646997784,0.1689097600131923,0.13958444661137281,9.958411462873713,1415.830907081312,0.29425826185471154,0.1257550515498416,0.10227809327443503,Econ/Fin,1,18,512,42,False,0,0,0
us_births/D/short,TTM-R3-PT,186533.63740887246,186533.63740887246,278.98086853878146,278.98086853878146,0.4109649833443992,0.02684693686136613,0.02647969107226074,4.105914776660998,431.8954010045401,0.040486689215140446,0.026152192626336543,0.02190547643495727,Healthcare,1,30,2048,6705,False,0,0,0
us_births/M/short,TTM-R3-PT,58323928.04323474,58323928.04323474,6012.0495301275905,6012.0495301275905,0.6815130540463361,0.018420175483027573,0.018680341916934576,6.403700034158909,7637.01041267031,0.023720502273274786,0.01867338485094043,0.015481687668251694,Healthcare,1,12,156,216,False,0,0,0
us_births/W/short,TTM-R3-PT,2937227.926702608,2937227.926702608,1318.2285438179629,1318.2285438179629,1.1987483719704748,0.017794438324548877,0.01790620568125031,8.499619546617394,1713.834276323883,0.023265132252061067,0.017894823224186094,0.01427003909519751,Healthcare,1,8,1024,931,False,0,0,0
solar/10T/medium,TTM-R3-PT,26.360407860978505,26.360407860978505,2.2335210665414484,2.2335210665414484,0.978008757847893,3.662919253546476,1.4846037507048664,15.777862243943524,5.134238781063703,1.1393079534669934,0.49562718522794413,0.41274603328768833,Energy,1,480,2048,47280,False,0,0,0
solar/10T/long,TTM-R3-PT,28.149212019930324,28.149212019930324,2.270820270413512,2.270820270413512,1.000698554932601,3.7317932725554264,1.486319435668595,18.00303493087439,5.305583098956261,1.1467168405764958,0.49080144395776487,0.41717150951913573,Energy,1,720,2048,46800,False,0,0,0
temperature_rain/D/short,TTM-R3-PT,188.02259010423904,188.02259010423904,6.008191692373203,6.008191692373203,1.4061499950659764,38.75535909093612,1.46201378365294,22.10485469403424,13.712132952397997,1.6142800009294933,0.7073227574746226,0.5753783325207201,Nature,1,30,768,635,False,0,0,0
electricity/15T/medium,TTM-R3-PT,313883.74460819,313883.74460819,56.35033981697573,56.35033981697573,0.8290182604949133,0.1275734958550292,0.13196077758404914,7.664943755238277,560.2532861199388,0.9653729184446926,0.09709731893088494,0.07945180371532921,Energy,1,480,2048,130656,False,0,0,0
electricity/15T/long,TTM-R3-PT,341908.53473371326,341908.53473371326,59.79949349047824,59.79949349047824,0.8743335198898163,0.13330318473544253,0.13378918635875148,7.637647973041694,584.7294543066163,0.9224823054441107,0.09434102252451262,0.07656578819706882,Energy,1,720,2048,125856,False,0,0,0
