dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[mean],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates,horizon,ttm_context_len,available_context_len,finetune_success,finetune_train_num_samples,finetune_valid_num_samples,insample_error
ett1/D/short,TTM-R3-FT,45139.06367314277,45139.06367314277,141.2343803563785,141.2343803563785,1.7339776049541937,1.0990413232546794,0.48337538124876733,10.2172769906866,212.45955773544944,0.5580320757476872,0.3709567847982866,0.28517489919462663,Energy,7,30,768,635,True,411,46,0
ett1/W/short,TTM-R3-FT,1156180.9932740761,1156180.9932740761,823.4529382148629,823.4529382148629,1.5578899564039832,0.5622669928226766,0.5894955162312172,8.279901873852127,1075.2585704257726,0.42787104917401586,0.3276715780836844,0.25703050502592023,Energy,7,8,156,87,False,0,0,0
ett1/15T/long,TTM-R3-FT,8.608634610802294,8.608634610802294,1.5668206864999157,1.5668206864999157,1.0003421241948125,0.7882336543003937,0.38871552112703384,7.955325749884519,2.9340474793026603,0.5592323505729057,0.2986375720292888,0.2364729216360924,Energy,7,720,2048,62480,True,1001,1000,0
bizitobs_l2c/5T/short,TTM-R3-FT,20.960280153515598,20.960280153515598,2.69106627719547,2.69106627719547,0.2796135260037026,0.15174567002432748,0.21021500609803997,3.264182231359433,4.578239853209484,0.15723528787562285,0.09242210857314151,0.07719954597388985,Web/CloudOps,7,48,2048,31008,True,5569,22273,0
ett1/H/short,TTM-R3-FT,119.12374710909734,119.12374710909734,5.228304171699564,5.228304171699564,0.8421452319622613,0.4925516070026987,0.26573480462877574,6.967843364608163,10.914382580297309,0.5094188876110574,0.24402634557152306,0.19585630522025824,Energy,7,48,2048,16460,True,2659,1000,0
ett2/15T/short,TTM-R3-FT,7.798735149186585,7.798735149186585,1.7475778353804223,1.7475778353804223,0.7499620589552979,0.10737048408160232,0.12668468944321065,5.4980357694924225,2.7926215549527265,0.1325756798415946,0.08296373677656575,0.06691847810951122,Energy,7,48,2048,68720,True,1001,1000,0
ett2/D/short,TTM-R3-FT,115087.08280516804,115087.08280516804,203.68220702380785,203.68220702380785,1.3307501871601044,0.4554577868980936,0.13869463742289226,12.017489709885758,339.24487145006043,0.19415876855683542,0.11657268781586441,0.09598496937651965,Energy,7,30,768,635,True,411,46,0
ett2/15T/medium,TTM-R3-FT,10.904152474826834,10.904152474826834,2.044293409958602,2.044293409958602,0.8456670738185058,0.12835026463323965,0.15552184899216734,6.640619706943313,3.3021436181406214,0.17597719909450169,0.10894408905643874,0.08717908104891743,Energy,7,480,2048,62480,True,1001,1000,0
ett1/H/medium,TTM-R3-FT,135.17525273824185,135.17525273824185,6.87712380395311,6.87712380395311,1.299318392926227,3901370420418.564,0.444622645006225,8.923483991135644,11.626489269691081,0.5568812755225985,0.3293979280448766,0.25812970469140945,Energy,7,480,2048,15500,True,2294,1000,0
ett2/H/short,TTM-R3-FT,112.14503357026871,112.14503357026871,6.5579019133781244,6.5579019133781244,0.7455695285994596,0.11966382494744716,0.11076543090631026,5.292892464812982,10.589855219514037,0.13430882943204672,0.08317244298986874,0.06666190153136028,Energy,7,48,2048,16460,True,1001,1000,0
